246 Nodes; 15443 Edges; C = 21.93,Average nr. of Recolors,Average nr. of Colors,Time Taken (s)
Random Warm-Up,0.05,54.64,41.945
Small-Bucket algorithm (d = 5),3.57,54.79,48.536
Big-Bucket algorithm (d = 5),5.21,38.54,48.692
Static-Dynamic algorithm (l = 10),1.11,124.69,48.98
Static-Dynamic algorithm (l = 100),0.18,152.98,47.966
DC-Orient,28.21,21.93,173.953
Static-Simple algorithm (l = 10),0.95,47.54,40.647
Static-Simple algorithm (l = 100),0.15,61.03,39.723
