235 Nodes; 18528 Edges; C = 27.17,Average nr. of Recolors,Average nr. of Colors,Time Taken (s)
Static-Dynamic (l = 10) no dynamic reset,1.06,132.49,6.902
Static-Dynamic (l = 10) dynamic reset,1.19,108.14,6.929
Static-Dynamic (l = 100) no dynamic reset,0.18,163.82,6.158
Static-Dynamic (l = 100) dynamic reset,0.2,155.13,6.494
